字段名,字段英文名
用户ID,user_id
用户名称,user_name
用户状态,user_status
用户类型,user_type
用户创建时间,user_create_time
用户更新时间,user_update_time
用户数量,user_count
用户金额,user_amount
用户比例,user_rate
用户等级,user_level
用户标签,user_tag
用户来源,user_source
用户渠道,user_channel
用户地址,user_address
用户城市,user_city
用户省份,user_province
用户评分,user_score
用户备注,user_note
用户是否有效,user_is_active
用户版本,user_version
订单ID,order_id
订单名称,order_name
订单状态,order_status
订单类型,order_type
订单创建时间,order_create_time
订单更新时间,order_update_time
订单数量,order_count
订单金额,order_amount
订单比例,order_rate
订单等级,order_level
订单标签,order_tag
订单来源,order_source
订单渠道,order_channel
订单地址,order_address
订单城市,order_city
订单省份,order_province
订单评分,order_score
订单备注,order_note
订单是否有效,order_is_active
订单版本,order_version
产品ID,product_id
产品名称,product_name
产品状态,product_status
产品类型,product_type
产品创建时间,product_create_time
产品更新时间,product_update_time
产品数量,product_count
产品金额,product_amount
产品比例,product_rate
产品等级,product_level
产品标签,product_tag
产品来源,product_source
产品渠道,product_channel
产品地址,product_address
产品城市,product_city
产品省份,product_province
产品评分,product_score
产品备注,product_note
产品是否有效,product_is_active
产品版本,product_version
活动ID,campaign_id
活动名称,campaign_name
活动状态,campaign_status
活动类型,campaign_type
活动创建时间,campaign_create_time
活动更新时间,campaign_update_time
活动数量,campaign_count
活动金额,campaign_amount
活动比例,campaign_rate
活动等级,campaign_level
活动标签,campaign_tag
活动来源,campaign_source
活动渠道,campaign_channel
活动地址,campaign_address
活动城市,campaign_city
活动省份,campaign_province
活动评分,campaign_score
活动备注,campaign_note
活动是否有效,campaign_is_active
活动版本,campaign_version
渠道ID,channel_id
渠道名称,channel_name
渠道状态,channel_status
渠道类型,channel_type
渠道创建时间,channel_create_time
渠道更新时间,channel_update_time
渠道数量,channel_count
渠道金额,channel_amount
渠道比例,channel_rate
渠道等级,channel_level
渠道标签,channel_tag
渠道来源,channel_source
渠道渠道,channel_channel
渠道地址,channel_address
渠道城市,channel_city
渠道省份,channel_province
渠道评分,channel_score
渠道备注,channel_note
渠道是否有效,channel_is_active
渠道版本,channel_version
客户ID,customer_id
客户名称,customer_name
客户状态,customer_status
客户类型,customer_type
客户创建时间,customer_create_time
客户更新时间,customer_update_time
客户数量,customer_count
客户金额,customer_amount
客户比例,customer_rate
客户等级,customer_level
客户标签,customer_tag
客户来源,customer_source
客户渠道,customer_channel
客户地址,customer_address
客户城市,customer_city
客户省份,customer_province
客户评分,customer_score
客户备注,customer_note
客户是否有效,customer_is_active
客户版本,customer_version
设备ID,device_id
设备名称,device_name
设备状态,device_status
设备类型,device_type
设备创建时间,device_create_time
设备更新时间,device_update_time
设备数量,device_count
设备金额,device_amount
设备比例,device_rate
设备等级,device_level
设备标签,device_tag
设备来源,device_source
设备渠道,device_channel
设备地址,device_address
设备城市,device_city
设备省份,device_province
设备评分,device_score
设备备注,device_note
设备是否有效,device_is_active
设备版本,device_version
账户ID,account_id
账户名称,account_name
账户状态,account_status
账户类型,account_type
账户创建时间,account_create_time
账户更新时间,account_update_time
账户数量,account_count
账户金额,account_amount
账户比例,account_rate
账户等级,account_level
账户标签,account_tag
账户来源,account_source
账户渠道,account_channel
账户地址,account_address
账户城市,account_city
账户省份,account_province
账户评分,account_score
账户备注,account_note
账户是否有效,account_is_active
账户版本,account_version
地区ID,region_id
地区名称,region_name
地区状态,region_status
地区类型,region_type
地区创建时间,region_create_time
地区更新时间,region_update_time
地区数量,region_count
地区金额,region_amount
地区比例,region_rate
地区等级,region_level
地区标签,region_tag
地区来源,region_source
地区渠道,region_channel
地区地址,region_address
地区城市,region_city
地区省份,region_province
地区评分,region_score
地区备注,region_note
地区是否有效,region_is_active
地区版本,region_version
行为ID,behavior_id
行为名称,behavior_name
行为状态,behavior_status
行为类型,behavior_type
行为创建时间,behavior_create_time
行为更新时间,behavior_update_time
行为数量,behavior_count
行为金额,behavior_amount
行为比例,behavior_rate
行为等级,behavior_level
行为标签,behavior_tag
行为来源,behavior_source
行为渠道,behavior_channel
行为地址,behavior_address
行为城市,behavior_city
行为省份,behavior_province
行为评分,behavior_score
行为备注,behavior_note
行为是否有效,behavior_is_active
行为版本,behavior_version
